El.  	  Z	   A	Spin/Parity  	  Isotopic fraction	  Mag. moment	  num. density (core)	  num. density (mantle)	  num. density (crust)
Ag   	 47	 109	1/2-         	             0.4816	    0.13056  	          9.1826e+30 	            1.51539e+29	           1.27858e+30
Cd   	 48	 106	0+           	             0.0125	    0        	          8.81149e+30	            8.48251e+29	           2.32958e+30
Cd   	 48	 108	0+           	             0.0089	    0        	          8.81149e+30	            8.48251e+29	           2.32958e+30
Cd   	 48	 110	0+           	             0.1249	    0        	          8.81149e+30	            8.48251e+29	           2.32958e+30
Cd   	 48	 111	1/2+         	             0.128 	   -0.594886 	          8.81149e+30	            8.48251e+29	           2.32958e+30
Cd   	 48	 112	0+           	             0.2413	    0        	          8.81149e+30	            8.48251e+29	           2.32958e+30
Cd   	 48	 113	1/2+         	             0.1222	   -0.622301 	          8.81149e+30	            8.48251e+29	           2.32958e+30
Cd   	 48	 114	0+           	             0.2873	    0        	          8.81149e+30	            8.48251e+29	           2.32958e+30
Cd   	 48	 116	0+           	             0.0749	    0        	          8.81149e+30	            8.48251e+29	           2.32958e+30
In   	 49	 113	9/2+         	             0.0429	    5.5289   	          0          	            4.27098e+29	           2.43279e+30
In   	 49	 115	9/2+         	             0.9571	    5.5408   	          0          	            4.27098e+29	           2.43279e+30
Sn   	 50	 112	0+           	             0.0097	    0        	          2.78131e+31	            3.21296e+30	           3.23541e+31
Sn   	 50	 114	0+           	             0.0066	    0        	          2.78131e+31	            3.21296e+30	           3.23541e+31
Sn   	 50	 115	1/2+         	             0.0034	   -0.91883  	          2.78131e+31	            3.21296e+30	           3.23541e+31
Sn   	 50	 116	0+           	             0.1454	    0        	          2.78131e+31	            3.21296e+30	           3.23541e+31
Sn   	 50	 117	1/2+         	             0.0768	   -1.00104  	          2.78131e+31	            3.21296e+30	           3.23541e+31
Sn   	 50	 118	0+           	             0.2422	    0        	          2.78131e+31	            3.21296e+30	           3.23541e+31
Sn   	 50	 119	1/2+         	             0.0859	   -1.04728  	          2.78131e+31	            3.21296e+30	           3.23541e+31
Sn   	 50	 120	0+           	             0.3258	    0        	          2.78131e+31	            3.21296e+30	           3.23541e+31
Sn   	 50	 122	0+           	             0.0463	    0        	          2.78131e+31	            3.21296e+30	           3.23541e+31
Sn   	 50	 124	0+           	             0.0579	    0        	          2.78131e+31	            3.21296e+30	           3.23541e+31
